app_id,v_val,i_val,p_val,pf_val,date
CFLNowTenWaTT,118.800003,0.213,13,0.547,1531195135
CFLNowTenWaTT,118.900002,0.213,13,0.544,1531195136
CFLNowTenWaTT,118.900002,0.212,13,0.547,1531195138
CFLNowTenWaTT,119.599998,0.213,13,0.542,1531195140
CFLNowTenWaTT,120.800003,0.216,13,0.529,1531195141
CFLNowTenWaTT,120.599998,0.216,13,0.53,1531195143
CFLNowTenWaTT,119.400002,0.214,13,0.542,1531195145
CFLNowTenWaTT,119,0.212,13,0.55,1531195146
CFLNowTenWaTT,119.800003,0.213,13,0.544,1531195148
CFLNowTenWaTT,121.099998,0.217,13,0.527,1531195150
CFLNowTenWaTT,119.5,0.215,13,0.54,1531195151
CFLNowTenWaTT,118.699997,0.213,13,0.549,1531195153
CFLNowTenWaTT,118.800003,0.212,13,0.551,1531195155
CFLNowTenWaTT,119.400002,0.212,13,0.548,1531195157
CFLNowTenWaTT,120.599998,0.214,13,0.537,1531195159
CFLNowTenWaTT,121.199997,0.215,13,0.532,1531195160
CFLNowTenWaTT,121.5,0.217,13,0.529,1531195162
CFLNowTenWaTT,120.699997,0.217,13,0.531,1531195164
CFLNowTenWaTT,120.800003,0.215,13,0.533,1531195165
CFLNowTenWaTT,121,0.215,13,0.533,1531195167
CFLNowTenWaTT,121.300003,0.217,13,0.526,1531195169
CFLNowTenWaTT,120.699997,0.214,13,0.535,1531195170
CFLNowTenWaTT,120,0.213,13,0.54,1531195172
CFLNowTenWaTT,119.599998,0.212,13,0.542,1531195174
CFLNowTenWaTT,119.5,0.214,13,0.542,1531195175
CFLNowTenWaTT,120.099998,0.216,13,0.536,1531195177
CFLNowTenWaTT,120.300003,0.216,13,0.532,1531195179
CFLNowTenWaTT,120.300003,0.215,13,0.539,1531195181
CFLNowTenWaTT,119.800003,0.213,13,0.544,1531195182
CFLNowTenWaTT,119.199997,0.213,13,0.546,1531195184
CFLNowTenWaTT,119,0.213,13,0.548,1531195186
CFLNowTenWaTT,118.599998,0.213,14,0.556,1531195187
CFLNowTenWaTT,118.800003,0.213,14,0.554,1531195189
CFLNowTenWaTT,119.599998,0.215,13,0.54,1531195191
CFLNowTenWaTT,119.900002,0.216,13,0.538,1531195192
CFLNowTenWaTT,120.5,0.216,13,0.534,1531195194
CFLNowTenWaTT,120.099998,0.216,13,0.535,1531195196
CFLNowTenWaTT,120.5,0.216,13,0.53,1531195198
CFLNowTenWaTT,120.599998,0.22,14,0.526,1531195199
CFLNowTenWaTT,120.400002,0.221,14,0.529,1531195201
CFLNowTenWaTT,120.5,0.218,13,0.531,1531195203
CFLNowTenWaTT,119.900002,0.215,13,0.542,1531195204
CFLNowTenWaTT,119.699997,0.214,13,0.544,1531195206
CFLNowTenWaTT,119.199997,0.214,13,0.543,1531195208
CFLNowTenWaTT,119.599998,0.215,13,0.54,1531195209
CFLNowTenWaTT,119.800003,0.216,13,0.537,1531195211
CFLNowTenWaTT,120.800003,0.218,13,0.525,1531195213
CFLNowTenWaTT,120.900002,0.218,13,0.528,1531195214
CFLNowTenWaTT,120.800003,0.217,13,0.531,1531195216
CFLNowTenWaTT,121.400002,0.216,13,0.531,1531195218
CFLNowTenWaTT,120.599998,0.215,14,0.538,1531195219
CFLNowTenWaTT,119.400002,0.217,14,0.544,1531195221
CFLNowTenWaTT,119.400002,0.218,14,0.542,1531195223
CFLNowTenWaTT,121,0.217,13,0.532,1531195225
CFLNowTenWaTT,121.300003,0.217,13,0.53,1531195226
CFLNowTenWaTT,121.300003,0.217,13,0.531,1531195228
CFLNowTenWaTT,120.199997,0.216,14,0.54,1531195230
CFLNowTenWaTT,119.699997,0.215,13,0.544,1531195231
CFLNowTenWaTT,119.900002,0.216,13,0.539,1531195233
CFLNowTenWaTT,120.900002,0.218,13,0.528,1531195235
CFLNowTenWaTT,121.400002,0.218,14,0.529,1531195236
CFLNowTenWaTT,121.199997,0.216,14,0.534,1531195238
CFLNowTenWaTT,121.199997,0.216,13,0.532,1531195240
CFLNowTenWaTT,119.5,0.214,14,0.547,1531195241
CFLNowTenWaTT,119.5,0.218,14,0.542,1531195243
CFLNowTenWaTT,120.199997,0.22,14,0.536,1531195245
CFLNowTenWaTT,121.5,0.217,13,0.529,1531195247
CFLNowTenWaTT,120.599998,0.215,14,0.54,1531195248
CFLNowTenWaTT,119.599998,0.214,14,0.547,1531195250
CFLNowTenWaTT,120.900002,0.217,14,0.534,1531195252
CFLNowTenWaTT,121.5,0.219,14,0.529,1531195253
CFLNowTenWaTT,121.900002,0.22,14,0.525,1531195255
CFLNowTenWaTT,121.400002,0.216,14,0.533,1531195257
CFLNowTenWaTT,120.400002,0.215,14,0.543,1531195258
CFLNowTenWaTT,120.099998,0.215,14,0.544,1531195260
CFLNowTenWaTT,119.900002,0.217,14,0.542,1531195262
CFLNowTenWaTT,121.400002,0.218,14,0.531,1531195263
CFLNowTenWaTT,121.900002,0.219,14,0.528,1531195265
CFLNowTenWaTT,121,0.219,14,0.533,1531195267
CFLNowTenWaTT,121.099998,0.217,14,0.537,1531195268
CFLNowTenWaTT,121,0.217,14,0.536,1531195270
CFLNowTenWaTT,120.599998,0.217,14,0.537,1531195272
CFLNowTenWaTT,121.800003,0.218,14,0.529,1531195274
